"Region","Collectible card game"
"Singapore",100
"Hong Kong",79
"Chile",75
"Puerto Rico",61
"Australia",54
"Taiwan",53
"Japan",50
"New Zealand",49
"Canada",47
"United States of America",46
"Costa Rica",44
"Malaysia",44
"Germany",37
"South Korea",37
"China",34
"Spain",31
"France",31
"Netherlands",31
"Portugal",31
"United Kingdom",30
"Belgium",29
"Mexico",28
"Philippines",28
"Austria",27
"Switzerland",27
"Czechia",25
"Norway",24
"Italy",23
"Finland",21
"Denmark",20
"Peru",20
"Greece",19
"Sweden",19
"Brazil",18
"Poland",18
"Thailand",18
"Croatia",17
"Ireland",17
"Slovakia",17
"Argentina",15
"Hungary",13
"Vietnam",12
"Ecuador",11
"Indonesia",11
"Israel",11
"United Arab Emirates",10
"Colombia",9
"Venezuela",9
"Romania",8
"South Africa",7
"Russia",3
"Turkiye",3
"Ukraine",3
"India",2
