year,city,country,lat,lon,winner,winner_country,note
1994,Milwaukee,United States of America,43.04,-87.91,Zak Dolan,United States of America,
1995,Seattle,United States of America,47.61,-122.33,Alexander Blumke,Switzerland,
1996,Seattle,United States of America,47.61,-122.33,Tom Chanpheng,Australia,
1997,Seattle,United States of America,47.61,-122.33,Jakub Slemr,Czechia,
1998,Seattle,United States of America,47.61,-122.33,Brian Selden,United States of America,
1999,Yokohama,Japan,35.44,139.64,Kai Budde,Germany,
2000,Brussels,Belgium,50.85,4.35,Jon Finkel,United States of America,
2001,Toronto,Canada,43.65,-79.38,Tom van de Logt,Netherlands,
2002,Sydney,Australia,-33.87,151.21,Carlos Romão,Brazil,
2003,Berlin,Germany,52.52,13.40,Daniel Zink,Germany,
2004,San Francisco,United States of America,37.77,-122.42,Julien Nuijten,Netherlands,
2005,Yokohama,Japan,35.44,139.64,Katsuhiro Mori,Japan,
2006,Paris,France,48.86,2.35,Makihito Mihara,Japan,
2007,New York City,United States of America,40.71,-74.01,Uri Peleg,Israel,
2008,Memphis,United States of America,35.15,-90.05,Antti Malin,Finland,
2009,Rome,Italy,41.90,12.50,André Coimbra,Portugal,
2010,Chiba,Japan,35.61,140.11,Guillaume Matignon,France,
2011,San Francisco,United States of America,37.77,-122.42,Jun'ya Iyanaga,Japan,
2012,Seattle,United States of America,47.61,-122.33,Yuuya Watanabe,Japan,Players Championship
2013,Amsterdam,Netherlands,52.37,4.90,Shahar Shenhar,Israel,
2014,Nice,France,43.70,7.27,Shahar Shenhar,Israel,
2015,Seattle,United States of America,47.61,-122.33,Seth Manfield,United States of America,
2016,Seattle,United States of America,47.61,-122.33,Brian Braun-Duin,United States of America,
2017,Boston,United States of America,42.36,-71.06,William Jensen,United States of America,
2018,Las Vegas,United States of America,36.17,-115.14,Javier Dominguez,Spain,
2019,Honolulu,United States of America,21.31,-157.86,Paulo Vitor Damo da Rosa,Brazil,
2022,Las Vegas,United States of America,36.17,-115.14,Nathan Steuer,United States of America,Played on MTG Arena at venue
2023,Las Vegas,United States of America,36.17,-115.14,Jean-Emmanuel Depraz,France,
2024,Las Vegas,United States of America,36.17,-115.14,Javier Dominguez,Spain,
2025,Seattle,United States of America,47.61,-122.33,Seth Manfield,United States of America,
